ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,State Name [State] 2017-18,State Name [State] 2016-17,State Name [State] 2015-16,State Name [State] 2014-15,State Name [State] 2013-14,State Name [State] 2012-13,State Name [State] 2011-12,State Name [State] 2010-11,State Name [State] 2009-10,State Name [State] 2008-09,State Name [State] 2007-08,State Name [State] 2006-07,State Abbr [State] Latest available year,Total Students [State] 2017-18,Total Students [State] 2016-17,Total Students [State] 2015-16,Total Students [State] 2014-15,Total Students [State] 2013-14,Total Students [State] 2012-13,Total Students [State] 2011-12,Total Students [State] 2010-11,Total Students [State] 2009-10,Total Students [State] 2008-09,Total Students [State] 2007-08,Total Students [State] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2013-14,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2009-10,Total Students All Grades (Excludes AE) [Public School] 2008-09,Total Students All Grades (Excludes AE) [Public School] 2007-08,Total Students All Grades (Excludes AE) [Public School] 2006-07
SOUTH DAKOTA,SOUTH DAKOTA,SOUTH DAKOTA,SOUTH DAKOTA,SOUTH DAKOTA,South Dakota,South Dakota,SOUTH DAKOTA,SOUTH DAKOTA,SOUTH DAKOTA,SOUTH DAKOTA,SOUTH DAKOTA,SOUTH DAKOTA,SD ,137823,136302,134253,133040,130890,130471,128016,126128,123713,126429,121606,121158,137298,135808,133792,132702,130890,130100,128016,125883,123708,126425,120271,121158
TENNESSEE,TENNESSEE,TENNESSEE,TENNESSEE,TENNESSEE,Tennessee,Tennessee,TENNESSEE,TENNESSEE,TENNESSEE,TENNESSEE,TENNESSEE,TENNESSEE,TN ,1001967,1001562,1001235,995475,993556,993496,999693,987422,972549,971950,964259,978368,1001967,1001562,995628,995578,993556,993496,987830,987078,972428,971950,963839,978368
TEXAS,TEXAS,TEXAS,TEXAS,TEXAS,Texas,Texas,TEXAS,TEXAS,TEXAS,TEXAS,TEXAS,TEXAS,TX ,5401341,5360849,5301477,5233765,5153702,5077659,5000470,4935715,4850210,4752148,4674832,4599509,5401341,5360756,5301433,5233736,5153642,5077632,5000193,4933737,4849426,4751003,4673455,4597733
UTAH,UTAH,UTAH,UTAH,UTAH,Utah,Utah,UTAH,UTAH,UTAH,UTAH,UTAH,UTAH,UT ,668274,659801,647870,635577,625461,613279,598832,585552,571586,559778,576244,523386,668274,659801,647870,635577,625461,613278,598294,585552,582793,559687,576244,523594
VERMONT,VERMONT,VERMONT,VERMONT,VERMONT,Vermont,Vermont,VERMONT,VERMONT,VERMONT,VERMONT,VERMONT,VERMONT,VT ,88028,88428,87866,87311,88690,89624,89908,96858,91451,93625,94038,95399,84348,84337,84371,84456,85407,86090,84031,85144,86137,90106,91728,93217
VIRGINIA,VIRGINIA,VIRGINIA,VIRGINIA,VIRGINIA,Virginia,Virginia,VIRGINIA,VIRGINIA,VIRGINIA,VIRGINIA,VIRGINIA,VIRGINIA,VA ,1291462,1287026,1283590,1280381,1273825,1265419,1257883,1251440,1245340,1235795,1230857,1220440,1291462,1286853,1283548,1280347,1273904,1265530,1255551,1250206,1245285,1235143,1230809,1220365
WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON,Washington,Washington,WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON,WA ,1110367,1101711,1087030,1073638,1058936,1051694,1045453,1043788,1035347,1037018,1030247,1026774,1110367,1101711,1087030,1073638,1059139,1051321,1045321,1043466,1035339,1037018,1030247,1026774
WEST VIRGINIA,WEST VIRGINIA,WEST VIRGINIA,WEST VIRGINIA,WEST VIRGINIA,West Virginia,West Virginia,WEST VIRGINIA,WEST VIRGINIA,WEST VIRGINIA,WEST VIRGINIA,WEST VIRGINIA,WEST VIRGINIA,WV ,272266,273855,277452,280310,280958,283044,282870,282879,282662,282729,282535,281939,272266,273855,277452,280310,280958,283044,282870,282879,282661,282718,282512,281074
WISCONSIN,WISCONSIN,WISCONSIN,WISCONSIN,WISCONSIN,Wisconsin,Wisconsin,WISCONSIN,WISCONSIN,WISCONSIN,WISCONSIN,WISCONSIN,WISCONSIN,WI ,860753,864432,867800,871432,874414,872436,871105,872286,872436,873750,874633,876700,860752,864222,867619,871249,874189,872230,870282,872164,872321,873607,874478,876588
WYOMING,WYOMING,WYOMING,WYOMING,WYOMING,Wyoming,Wyoming,WYOMING,WYOMING,WYOMING,WYOMING,WYOMING,WYOMING,WY ,94258,94170,94717,94067,92732,91533,90099,89009,88155,87161,86422,85193,94258,94170,94717,94067,92563,91376,89894,88779,88152,87153,86364,85193


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Public Elementary/Secondary School Universe Survey" 2006-07 v.1c  2007-08 v.1b  2008-09 v.1b  2009-10 v.2a  2010-11 v.2a  2011-12 v.1a  2012-13 v.2a  2013-14 v.2a  2016-17 v.2a  2017-18 v.1a; "Public Elementary/Secondary School Universe Survey Membership Data" 2014-15 v.1a  2015-16 v.2a; "State Nonfiscal Public Elementary/Secondary Education Survey" 2006-07 v.1c  2007-08 v.1b  2008-09 v.1c  2009-10 v.1b  2010-11 v.1a  2011-12 v.1a  2012-13 v.1a  2013-14 v.1a  2016-17 v.1a  2017-18 v.1a  2018-19 v.1a; "State Nonfiscal Public Elementary/Secondary Education Survey Directory Data" 2014-15 v.1a  2015-16 v.1a; "State Nonfiscal Public Elementary/Secondary Education Survey Membership Data" 2014-15 v.1a  2015-16 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
