,attending_school,case_no,casetype,dcps_school_against,home_school,failed_parse,casetype_clean_init,casetype_isdigits,casetype_final
787,Roosevelt High Schoo l,2012-0370,05/15/ 2012,Roosevelt High School,Spingarn Senior High School,0,05/15/ 2012,digits,Other/failed to parse
788,"Phelps Architectu re, Const ruct ion, and",2012-0370,05/15/ 2012,"Phelps Arch itec ture, Construction, and Engin eeri ng HS",Spingarn Senior High School,0,05/15/ 2012,digits,Other/failed to parse
789,"Phelps Architectu re, Const ruct ion, and",2012-0369,05/15/ 2012,"Phelps Arch itec ture, Construction, and Engin eeri ng HS",Ballou Senio r High School,0,05/15/ 2012,digits,Other/failed to parse
790,Enginee ring HS,2012-0369,05/15/ 2012,"Phelps Architec ture, Const ruct ion, and Engineeri ng HS",Ballou Senio r High School,0,05/15/ 2012,digits,Other/failed to parse
791,Ludlow -Taylor ES,2012--0374,05/15/ 2012,Lud low-Taylor ES,Ballou Senio r High School,0,05/15/ 2012,digits,Other/failed to parse
792,Accot ink Academy,2012-0373,05/15/ 2012,Accotink Academy,Ballou Senio r High School,0,05/15/ 2012,digits,Other/failed to parse
793,Accot ink Academy,2012-0373,05/15/ 2012,Accotink Academy,Columb ia Heights Educat ion,0,05/15/ 2012,digits,Other/failed to parse
794,Colum bia Heights Education,2012-0376-8,05/15/ 2012,Columb ia Heights Educat ion Center High School,Columb ia Heights Educat ion,0,05/15/ 2012,digits,Other/failed to parse
795,Colum bia Heights Education,2012-0376-8,05/16/20 12,Columb ia Heights Educat ion Center High School,Cente r High School,0,05/16/20 12,digits,Other/failed to parse
796,Dunbar High School,2012-0375,05/16/20 12,Dunbar High Schoo l,Cente r High School,0,05/16/20 12,digits,Other/failed to parse
797,Dunbar High School,2012-0375,05/16/20 12,Columb ia Heights Educat ion Center High School,Columb ia Heigh ts Educat ion,0,05/16/20 12,digits,Other/failed to parse
798,Colum bia Heights Educat ion Center High Schoo l,2012-0376,05/16/20 12,Columb ia Heights Educat ion Center High School,Columb ia Heigh ts Educat ion,0,05/16/20 12,digits,Other/failed to parse
799,Colum bia Heights Educat ion Center High Schoo l,2012-0376,05/16/20 12,Columb ia Heights Educat ion Center High School,Cente r High Schoo l,0,05/16/20 12,digits,Other/failed to parse
800,"""--~...-. I'=, ._..,,,,..,~, ,,.._.~•v• '",2012-0379,05/16/20 12,"Phelps Architecture, Construction, and Engineeri ng HS",Cente r High Schoo l,0,05/16/20 12,digits,Other/failed to parse
801,"""--~...-. I'=, ._..,,,,..,~, ,,.._.~•v• '",2012-0379,05/16/20 12,Simon Elementary Schoo l,Cente r High Schoo l,0,05/16/20 12,digits,Other/failed to parse
802,Simo n Elementary,2012-0377,05/16/20 12,Simon Elementary Schoo l,Cente r High Schoo l,0,05/16/20 12,digits,Other/failed to parse
803,Simo n Elementary,2012-0377,05/16/20 12,Simon Elementa ry Schoo l,Cente r High Schoo l,0,05/16/20 12,digits,Other/failed to parse
804,Simo n Elementary,2012-0377,05/17/2012,Simon Elementa ry Schoo l,Cente r High Schoo l,0,05/17/2012,digits,Other/failed to parse
805,High Road DC A-M,2012-0378,05/17/2012,Simon Elementa ry Schoo l,Cente r High Schoo l,0,05/17/2012,digits,Other/failed to parse
